sample_id,is_correct,category,difficulty,error_count,error_types,token_count,token_sequence,source_code
C012,1,nested_loop,advanced,0,,60,KEYWORD(int) IDENTIFIER LPAREN RPAREN LBRACE KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(for) LPAREN KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON IDENTIFIER LT INT_LITERAL SEMICOLON IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL RPAREN LBRACE KEYWORD(for) LPAREN KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON IDENTIFIER LT INT_LITERAL SEMICOLON IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL RPAREN LBRACE IDENTIFIER ASSIGN IDENTIFIER PLUS IDENTIFIER PLUS IDENTIFIER SEMICOLON RBRACE RBRACE KEYWORD(return) IDENTIFIER SEMICOLON RBRACE,int main() {\n    int sum = 0;\n    for (int i = 0; i < 3; i = i + 1) {\n        for (int j = 0; j < 3; j = j + 1) {\n            sum = sum + i + j;\n        }\n    }\n    return sum;\n}\n
E001,0,missing_semicolon,beginner,1,MISSING_SEMICOLON,16,KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(int) IDENTIFIER ASSIGN IDENTIFIER PLUS IDENTIFIER SEMICOLON,int x = 5\nint y = 10;\nint sum = x + y;\n
E002,0,unmatched_brace,beginner,1,UNMATCHED_LBRACE,12,KEYWORD(if) LPAREN IDENTIFIER GT INT_LITERAL RPAREN LBRACE KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON,if (x > 0) {\n    int y = 1;\n
E003,0,assignment_in_condition,beginner,1,ASSIGNMENT_IN_CONDITION,16,KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(if) LPAREN IDENTIFIER ASSIGN INT_LITERAL RPAREN LBRACE KEYWORD(return) INT_LITERAL SEMICOLON RBRACE,int x = 5;\nif (x = 0) {\n    return 1;\n}\n
E004,0,unmatched_paren,beginner,1,UNMATCHED_LPAREN,10,KEYWORD(int) IDENTIFIER ASSIGN LPAREN IDENTIFIER PLUS IDENTIFIER MULTIPLY IDENTIFIER SEMICOLON,int result = (a + b * c;\n
E005,0,missing_semicolon,intermediate,1,MISSING_SEMICOLON,29,KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL KEYWORD(for) LPAREN KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON IDENTIFIER LT INT_LITERAL SEMICOLON IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL RPAREN LBRACE IDENTIFIER ASSIGN IDENTIFIER PLUS IDENTIFIER SEMICOLON RBRACE,int sum = 0\nfor (int i = 0; i < 5; i = i + 1) {\n    sum = sum + i;\n}\n
E006,0,extra_brace,intermediate,1,UNMATCHED_RBRACE,17,KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(if) LPAREN IDENTIFIER GT INT_LITERAL RPAREN LBRACE KEYWORD(return) IDENTIFIER SEMICOLON RBRACE RBRACE,int x = 5;\nif (x > 0) {\n    return x;\n}\n}\n
E007,0,assignment_in_condition,intermediate,1,ASSIGNMENT_IN_CONDITION,19,KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(while) LPAREN IDENTIFIER ASSIGN INT_LITERAL RPAREN LBRACE IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL SEMICOLON RBRACE,int i = 0;\nwhile (i = 10) {\n    i = i + 1;\n}\n
E008,0,missing_semicolon,advanced,0,,28,KEYWORD(int) IDENTIFIER LPAREN KEYWORD(int) IDENTIFIER RPAREN LBRACE KEYWORD(if) LPAREN IDENTIFIER EQ INT_LITERAL RPAREN LBRACE KEYWORD(return) INT_LITERAL RBRACE KEYWORD(return) IDENTIFIER MULTIPLY IDENTIFIER LPAREN IDENTIFIER MINUS INT_LITERAL RPAREN SEMICOLON RBRACE,int factorial(int n) {\n    if (n == 0) {\n        return 1\n    }\n    return n * factorial(n - 1);\n}\n
E009,0,multiple_errors,advanced,1,UNMATCHED_LPAREN,14,KEYWORD(int) IDENTIFIER LPAREN KEYWORD(int) IDENTIFIER COMMA KEYWORD(int) IDENTIFIER LBRACE KEYWORD(return) IDENTIFIER PLUS IDENTIFIER RBRACE,"int add(int a, int b {\n    return a + b\n}\n"
E010,0,unmatched_brace,beginner,1,UNMATCHED_LBRACE,10,KEYWORD(void) IDENTIFIER LPAREN RPAREN LBRACE KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON,void greet() {\n    int x = 1;\n\n
E011,0,missing_semicolon,intermediate,1,MISSING_SEMICOLON,64,KEYWORD(int) IDENTIFIER LPAREN RPAREN LBRACE KEYWORD(int) IDENTIFIER SEMICOLON KEYWORD(int) IDENTIFIER SEMICOLON IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(for) LPAREN KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON IDENTIFIER LTE IDENTIFIER SEMICOLON IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL RPAREN LBRACE IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL SEMICOLON RBRACE KEYWORD(if) LPAREN IDENTIFIER GTE INT_LITERAL RPAREN LBRACE IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL SEMICOLON RBRACE KEYWORD(else) LBRACE IDENTIFIER ASSIGN IDENTIFIER RBRACE KEYWORD(return) INT_LITERAL SEMICOLON RBRACE,int main() {\n    int x;\n    int y;\n    x = 1;\n    for (int i = 0; i <= x; i = i + 1) {\n        x = x + 1;\n    }\n    if (x >= 1) {\n        y = x + 5;\n    } else {\n        y = x\n    }\n    return 0;\n}\n
E012,0,assignment_in_condition,intermediate,1,ASSIGNMENT_IN_CONDITION,25,KEYWORD(int) IDENTIFIER LPAREN RPAREN LBRACE KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(if) LPAREN IDENTIFIER ASSIGN INT_LITERAL RPAREN LBRACE KEYWORD(return) IDENTIFIER SEMICOLON RBRACE KEYWORD(return) INT_LITERAL SEMICOLON RBRACE,int main() {\n    int x = 5;\n    if (x = 1) {\n        return x;\n    }\n    return 0;\n}\n
E013,0,unmatched_brace,intermediate,1,UNMATCHED_LBRACE,27,KEYWORD(int) IDENTIFIER LPAREN RPAREN LBRACE KEYWORD(int) IDENTIFIER ASSIGN INT_LITERAL SEMICOLON KEYWORD(while) LPAREN IDENTIFIER LT INT_LITERAL RPAREN LBRACE IDENTIFIER ASSIGN IDENTIFIER PLUS INT_LITERAL SEMICOLON KEYWORD(return) IDENTIFIER SEMICOLON RBRACE,int main() {\n    int x = 0;\n    while (x < 5) {\n        x = x + 1;\n    return x;\n}\n
